,법규위반유형,유형,주야,월,사고수
430,일시정지위반,사망자수,주,12,1
431,일시정지위반,부상자수,주,12,59
432,일시정지위반,사고건수,야,01,12
433,일시정지위반,사망자수,야,01,0
434,일시정지위반,부상자수,야,01,25
435,일시정지위반,사고건수,야,02,15
436,일시정지위반,사망자수,야,02,0
437,일시정지위반,부상자수,야,02,25
438,일시정지위반,사고건수,야,03,23
439,일시정지위반,사망자수,야,03,0
440,일시정지위반,부상자수,야,03,44
441,일시정지위반,사고건수,야,04,12
442,일시정지위반,사망자수,야,04,0
443,일시정지위반,부상자수,야,04,18
444,일시정지위반,사고건수,야,05,15
445,일시정지위반,사망자수,야,05,0
446,일시정지위반,부상자수,야,05,21
447,일시정지위반,사고건수,야,06,14
448,일시정지위반,사망자수,야,06,0
449,일시정지위반,부상자수,야,06,21
450,일시정지위반,사고건수,야,07,18
451,일시정지위반,사망자수,야,07,0
452,일시정지위반,부상자수,야,07,25
453,일시정지위반,사고건수,야,08,22
454,일시정지위반,사망자수,야,08,0
455,일시정지위반,부상자수,야,08,35
456,일시정지위반,사고건수,야,09,14
457,일시정지위반,사망자수,야,09,0
458,일시정지위반,부상자수,야,09,26
459,일시정지위반,사고건수,야,10,19
460,일시정지위반,사망자수,야,10,0
461,일시정지위반,부상자수,야,10,29
462,일시정지위반,사고건수,야,11,16
463,일시정지위반,사망자수,야,11,0
464,일시정지위반,부상자수,야,11,22
465,일시정지위반,사고건수,야,12,22
466,일시정지위반,사망자수,야,12,0
467,일시정지위반,부상자수,야,12,27
468,부당한회전,사고건수,주,01,55
469,부당한회전,사망자수,주,01,0
470,부당한회전,부상자수,주,01,72
471,부당한회전,사고건수,주,02,61
472,부당한회전,사망자수,주,02,0
473,부당한회전,부상자수,주,02,82
474,부당한회전,사고건수,주,03,76
475,부당한회전,사망자수,주,03,1
476,부당한회전,부상자수,주,03,85
477,부당한회전,사고건수,주,04,84
478,부당한회전,사망자수,주,04,1
479,부당한회전,부상자수,주,04,108
480,부당한회전,사고건수,주,05,82
481,부당한회전,사망자수,주,05,1
482,부당한회전,부상자수,주,05,110
483,부당한회전,사고건수,주,06,82
484,부당한회전,사망자수,주,06,0
485,부당한회전,부상자수,주,06,117
486,부당한회전,사고건수,주,07,112
487,부당한회전,사망자수,주,07,2
488,부당한회전,부상자수,주,07,139
489,부당한회전,사고건수,주,08,91
490,부당한회전,사망자수,주,08,1
491,부당한회전,부상자수,주,08,107
492,부당한회전,사고건수,주,09,81
493,부당한회전,사망자수,주,09,0
494,부당한회전,부상자수,주,09,115
495,부당한회전,사고건수,주,10,83
496,부당한회전,사망자수,주,10,0
497,부당한회전,부상자수,주,10,105
498,부당한회전,사고건수,주,11,84
499,부당한회전,사망자수,주,11,1
500,부당한회전,부상자수,주,11,107
501,부당한회전,사고건수,주,12,65
502,부당한회전,사망자수,주,12,0
503,부당한회전,부상자수,주,12,95
504,부당한회전,사고건수,야,01,43
505,부당한회전,사망자수,야,01,0
506,부당한회전,부상자수,야,01,53
507,부당한회전,사고건수,야,02,37
508,부당한회전,사망자수,야,02,1
