도로종류,시간대,사고수,월,유형
군도,20시-22시,19,02,사고건수
군도,22시-24시,14,02,사고건수
고속국도,00시-02시,13,02,사고건수
고속국도,02시-04시,8,02,사고건수
고속국도,04시-06시,8,02,사고건수
고속국도,06시-08시,22,02,사고건수
고속국도,08시-10시,30,02,사고건수
고속국도,10시-12시,35,02,사고건수
고속국도,12시-14시,41,02,사고건수
고속국도,14시-16시,50,02,사고건수
고속국도,16시-18시,59,02,사고건수
고속국도,18시-20시,37,02,사고건수
고속국도,20시-22시,29,02,사고건수
고속국도,22시-24시,36,02,사고건수
일반국도,00시-02시,2,02,사망자수
일반국도,02시-04시,1,02,사망자수
일반국도,04시-06시,1,02,사망자수
일반국도,06시-08시,3,02,사망자수
일반국도,08시-10시,5,02,사망자수
일반국도,10시-12시,6,02,사망자수
일반국도,12시-14시,5,02,사망자수
일반국도,14시-16시,3,02,사망자수
일반국도,16시-18시,2,02,사망자수
일반국도,18시-20시,5,02,사망자수
일반국도,20시-22시,6,02,사망자수
일반국도,22시-24시,4,02,사망자수
지방도,00시-02시,1,02,사망자수
지방도,02시-04시,0,02,사망자수
지방도,04시-06시,1,02,사망자수
지방도,06시-08시,1,02,사망자수
지방도,08시-10시,1,02,사망자수
지방도,10시-12시,2,02,사망자수
지방도,12시-14시,2,02,사망자수
지방도,14시-16시,5,02,사망자수
지방도,16시-18시,0,02,사망자수
지방도,18시-20시,5,02,사망자수
지방도,20시-22시,4,02,사망자수
지방도,22시-24시,0,02,사망자수
특별광역시도,00시-02시,3,02,사망자수
특별광역시도,02시-04시,3,02,사망자수
특별광역시도,04시-06시,4,02,사망자수
특별광역시도,06시-08시,2,02,사망자수
특별광역시도,08시-10시,9,02,사망자수
특별광역시도,10시-12시,3,02,사망자수
특별광역시도,12시-14시,7,02,사망자수
특별광역시도,14시-16시,3,02,사망자수
특별광역시도,16시-18시,4,02,사망자수
특별광역시도,18시-20시,8,02,사망자수
특별광역시도,20시-22시,8,02,사망자수
특별광역시도,22시-24시,10,02,사망자수
시도,00시-02시,0,02,사망자수
시도,02시-04시,4,02,사망자수
시도,04시-06시,5,02,사망자수
시도,06시-08시,6,02,사망자수
시도,08시-10시,2,02,사망자수
시도,10시-12시,3,02,사망자수
시도,12시-14시,5,02,사망자수
시도,14시-16시,3,02,사망자수
시도,16시-18시,3,02,사망자수
시도,18시-20시,6,02,사망자수
시도,20시-22시,3,02,사망자수
시도,22시-24시,2,02,사망자수
군도,00시-02시,0,02,사망자수
군도,02시-04시,0,02,사망자수
군도,04시-06시,0,02,사망자수
군도,06시-08시,0,02,사망자수
군도,08시-10시,1,02,사망자수
군도,10시-12시,2,02,사망자수
군도,12시-14시,0,02,사망자수
군도,14시-16시,0,02,사망자수
군도,16시-18시,1,02,사망자수
군도,18시-20시,0,02,사망자수
군도,20시-22시,0,02,사망자수
군도,22시-24시,0,02,사망자수
고속국도,00시-02시,4,02,사망자수
고속국도,02시-04시,1,02,사망자수
고속국도,04시-06시,0,02,사망자수
고속국도,06시-08시,2,02,사망자수
고속국도,08시-10시,8,02,사망자수
