	법규위반유형	유형	주야	월	사고수
321	신호위반	사고건수	야	12	928
322	신호위반	사망자수	야	12	11
323	신호위반	부상자수	야	12	1360
324	안전거리미확보	사고건수	주	1	1013
325	안전거리미확보	사망자수	주	1	1
326	안전거리미확보	부상자수	주	1	1651
327	안전거리미확보	사고건수	주	2	1044
328	안전거리미확보	사망자수	주	2	3
329	안전거리미확보	부상자수	주	2	1721
330	안전거리미확보	사고건수	주	3	1165
331	안전거리미확보	사망자수	주	3	1
332	안전거리미확보	부상자수	주	3	1883
333	안전거리미확보	사고건수	주	4	1248
334	안전거리미확보	사망자수	주	4	2
335	안전거리미확보	부상자수	주	4	2062
336	안전거리미확보	사고건수	주	5	1291
337	안전거리미확보	사망자수	주	5	4
338	안전거리미확보	부상자수	주	5	2128
339	안전거리미확보	사고건수	주	6	1213
340	안전거리미확보	사망자수	주	6	2
341	안전거리미확보	부상자수	주	6	1939
342	안전거리미확보	사고건수	주	7	1231
343	안전거리미확보	사망자수	주	7	5
344	안전거리미확보	부상자수	주	7	1938
345	안전거리미확보	사고건수	주	8	1154
346	안전거리미확보	사망자수	주	8	3
347	안전거리미확보	부상자수	주	8	1933
348	안전거리미확보	사고건수	주	9	1197
349	안전거리미확보	사망자수	주	9	1
350	안전거리미확보	부상자수	주	9	1902
351	안전거리미확보	사고건수	주	10	1289
352	안전거리미확보	사망자수	주	10	3
353	안전거리미확보	부상자수	주	10	2073
354	안전거리미확보	사고건수	주	11	1278
355	안전거리미확보	사망자수	주	11	2
356	안전거리미확보	부상자수	주	11	1991
357	안전거리미확보	사고건수	주	12	1181
358	안전거리미확보	사망자수	주	12	6
359	안전거리미확보	부상자수	주	12	1879
360	안전거리미확보	사고건수	야	1	608
361	안전거리미확보	사망자수	야	1	1
362	안전거리미확보	부상자수	야	1	913
363	안전거리미확보	사고건수	야	2	542
364	안전거리미확보	사망자수	야	2	0
365	안전거리미확보	부상자수	야	2	836
366	안전거리미확보	사고건수	야	3	569
367	안전거리미확보	사망자수	야	3	0
368	안전거리미확보	부상자수	야	3	882
369	안전거리미확보	사고건수	야	4	499
370	안전거리미확보	사망자수	야	4	2
371	안전거리미확보	부상자수	야	4	806
372	안전거리미확보	사고건수	야	5	523
373	안전거리미확보	사망자수	야	5	0
374	안전거리미확보	부상자수	야	5	817
375	안전거리미확보	사고건수	야	6	554
376	안전거리미확보	사망자수	야	6	1
377	안전거리미확보	부상자수	야	6	875
378	안전거리미확보	사고건수	야	7	532
379	안전거리미확보	사망자수	야	7	0
380	안전거리미확보	부상자수	야	7	852
381	안전거리미확보	사고건수	야	8	520
382	안전거리미확보	사망자수	야	8	1
383	안전거리미확보	부상자수	야	8	823
384	안전거리미확보	사고건수	야	9	518
385	안전거리미확보	사망자수	야	9	2
386	안전거리미확보	부상자수	야	9	821
387	안전거리미확보	사고건수	야	10	655
388	안전거리미확보	사망자수	야	10	2
389	안전거리미확보	부상자수	야	10	1061
390	안전거리미확보	사고건수	야	11	610
391	안전거리미확보	사망자수	야	11	3
392	안전거리미확보	부상자수	야	11	956
393	안전거리미확보	사고건수	야	12	611
394	안전거리미확보	사망자수	야	12	3
395	안전거리미확보	부상자수	야	12	945
396	일시정지위반	사고건수	주	1	29
397	일시정지위반	사망자수	주	1	0
398	일시정지위반	부상자수	주	1	54
399	일시정지위반	사고건수	주	2	32
400	일시정지위반	사망자수	주	2	0
401	일시정지위반	부상자수	주	2	60
402	일시정지위반	사고건수	주	3	48
403	일시정지위반	사망자수	주	3	0
404	일시정지위반	부상자수	주	3	75
405	일시정지위반	사고건수	주	4	45
406	일시정지위반	사망자수	주	4	0
407	일시정지위반	부상자수	주	4	72
408	일시정지위반	사고건수	주	5	37
409	일시정지위반	사망자수	주	5	0
410	일시정지위반	부상자수	주	5	57
411	일시정지위반	사고건수	주	6	42
412	일시정지위반	사망자수	주	6	0
413	일시정지위반	부상자수	주	6	62
414	일시정지위반	사고건수	주	7	41
415	일시정지위반	사망자수	주	7	0
416	일시정지위반	부상자수	주	7	70
417	일시정지위반	사고건수	주	8	48
418	일시정지위반	사망자수	주	8	2
419	일시정지위반	부상자수	주	8	71
420	일시정지위반	사고건수	주	9	48
421	일시정지위반	사망자수	주	9	1
422	일시정지위반	부상자수	주	9	98
423	일시정지위반	사고건수	주	10	43
424	일시정지위반	사망자수	주	10	0
425	일시정지위반	부상자수	주	10	65
426	일시정지위반	사고건수	주	11	43
427	일시정지위반	사망자수	주	11	0
428	일시정지위반	부상자수	주	11	88
429	일시정지위반	사고건수	주	12	35
430	일시정지위반	사망자수	주	12	1
431	일시정지위반	부상자수	주	12	59
432	일시정지위반	사고건수	야	1	12
433	일시정지위반	사망자수	야	1	0
434	일시정지위반	부상자수	야	1	25
435	일시정지위반	사고건수	야	2	15
436	일시정지위반	사망자수	야	2	0
437	일시정지위반	부상자수	야	2	25
438	일시정지위반	사고건수	야	3	23
439	일시정지위반	사망자수	야	3	0
440	일시정지위반	부상자수	야	3	44
441	일시정지위반	사고건수	야	4	12
442	일시정지위반	사망자수	야	4	0
443	일시정지위반	부상자수	야	4	18
444	일시정지위반	사고건수	야	5	15
445	일시정지위반	사망자수	야	5	0
446	일시정지위반	부상자수	야	5	21
447	일시정지위반	사고건수	야	6	14
448	일시정지위반	사망자수	야	6	0
449	일시정지위반	부상자수	야	6	21
450	일시정지위반	사고건수	야	7	18
451	일시정지위반	사망자수	야	7	0
452	일시정지위반	부상자수	야	7	25
453	일시정지위반	사고건수	야	8	22
454	일시정지위반	사망자수	야	8	0
455	일시정지위반	부상자수	야	8	35
456	일시정지위반	사고건수	야	9	14
457	일시정지위반	사망자수	야	9	0
458	일시정지위반	부상자수	야	9	26
459	일시정지위반	사고건수	야	10	19
460	일시정지위반	사망자수	야	10	0
461	일시정지위반	부상자수	야	10	29
462	일시정지위반	사고건수	야	11	16
463	일시정지위반	사망자수	야	11	0
464	일시정지위반	부상자수	야	11	22
465	일시정지위반	사고건수	야	12	22
466	일시정지위반	사망자수	야	12	0
467	일시정지위반	부상자수	야	12	27
468	부당한회전	사고건수	주	1	55
469	부당한회전	사망자수	주	1	0
470	부당한회전	부상자수	주	1	72
471	부당한회전	사고건수	주	2	61
472	부당한회전	사망자수	주	2	0
473	부당한회전	부상자수	주	2	82
474	부당한회전	사고건수	주	3	76
475	부당한회전	사망자수	주	3	1
476	부당한회전	부상자수	주	3	85
477	부당한회전	사고건수	주	4	84
478	부당한회전	사망자수	주	4	1
479	부당한회전	부상자수	주	4	108
480	부당한회전	사고건수	주	5	82
481	부당한회전	사망자수	주	5	1
482	부당한회전	부상자수	주	5	110
483	부당한회전	사고건수	주	6	82
484	부당한회전	사망자수	주	6	0
485	부당한회전	부상자수	주	6	117
486	부당한회전	사고건수	주	7	112
487	부당한회전	사망자수	주	7	2
488	부당한회전	부상자수	주	7	139
489	부당한회전	사고건수	주	8	91
490	부당한회전	사망자수	주	8	1
491	부당한회전	부상자수	주	8	107
492	부당한회전	사고건수	주	9	81
493	부당한회전	사망자수	주	9	0
494	부당한회전	부상자수	주	9	115
495	부당한회전	사고건수	주	10	83
496	부당한회전	사망자수	주	10	0
497	부당한회전	부상자수	주	10	105
498	부당한회전	사고건수	주	11	84
499	부당한회전	사망자수	주	11	1
500	부당한회전	부상자수	주	11	107
501	부당한회전	사고건수	주	12	65
502	부당한회전	사망자수	주	12	0
503	부당한회전	부상자수	주	12	95
504	부당한회전	사고건수	야	1	43
505	부당한회전	사망자수	야	1	0
506	부당한회전	부상자수	야	1	53
507	부당한회전	사고건수	야	2	37
508	부당한회전	사망자수	야	2	1
509	부당한회전	부상자수	야	2	55
510	부당한회전	사고건수	야	3	33
511	부당한회전	사망자수	야	3	0
512	부당한회전	부상자수	야	3	49
513	부당한회전	사고건수	야	4	38
514	부당한회전	사망자수	야	4	1
515	부당한회전	부상자수	야	4	46
516	부당한회전	사고건수	야	5	50
517	부당한회전	사망자수	야	5	0
518	부당한회전	부상자수	야	5	66
519	부당한회전	사고건수	야	6	53
520	부당한회전	사망자수	야	6	1
521	부당한회전	부상자수	야	6	63
522	부당한회전	사고건수	야	7	52
523	부당한회전	사망자수	야	7	0
524	부당한회전	부상자수	야	7	70
525	부당한회전	사고건수	야	8	50
526	부당한회전	사망자수	야	8	0
527	부당한회전	부상자수	야	8	69
528	부당한회전	사고건수	야	9	45
529	부당한회전	사망자수	야	9	1
530	부당한회전	부상자수	야	9	51
531	부당한회전	사고건수	야	10	37
532	부당한회전	사망자수	야	10	0
533	부당한회전	부상자수	야	10	46
534	부당한회전	사고건수	야	11	37
535	부당한회전	사망자수	야	11	0
536	부당한회전	부상자수	야	11	43
537	부당한회전	사고건수	야	12	53
538	부당한회전	사망자수	야	12	0
539	부당한회전	부상자수	야	12	72
540	진로양보불이행	사고건수	주	1	2
541	진로양보불이행	사망자수	주	1	0
542	진로양보불이행	부상자수	주	1	2
543	진로양보불이행	사고건수	주	2	3
544	진로양보불이행	사망자수	주	2	0
545	진로양보불이행	부상자수	주	2	4
546	진로양보불이행	사고건수	주	3	2
547	진로양보불이행	사망자수	주	3	0
548	진로양보불이행	부상자수	주	3	6
549	진로양보불이행	사고건수	주	4	7
550	진로양보불이행	사망자수	주	4	0
551	진로양보불이행	부상자수	주	4	9
552	진로양보불이행	사고건수	주	5	3
553	진로양보불이행	사망자수	주	5	0
554	진로양보불이행	부상자수	주	5	4
555	진로양보불이행	사고건수	주	6	4
556	진로양보불이행	사망자수	주	6	0
557	진로양보불이행	부상자수	주	6	6
558	진로양보불이행	사고건수	주	7	6
559	진로양보불이행	사망자수	주	7	1
560	진로양보불이행	부상자수	주	7	10
561	진로양보불이행	사고건수	주	8	2
562	진로양보불이행	사망자수	주	8	0
563	진로양보불이행	부상자수	주	8	3
564	진로양보불이행	사고건수	주	9	4
565	진로양보불이행	사망자수	주	9	0
566	진로양보불이행	부상자수	주	9	5
567	진로양보불이행	사고건수	주	10	2
568	진로양보불이행	사망자수	주	10	0
569	진로양보불이행	부상자수	주	10	3
570	진로양보불이행	사고건수	주	11	4
571	진로양보불이행	사망자수	주	11	0
572	진로양보불이행	부상자수	주	11	6
573	진로양보불이행	사고건수	주	12	1
574	진로양보불이행	사망자수	주	12	0
575	진로양보불이행	부상자수	주	12	1
576	교차로운행방법위반	사고건수	주	1	604
577	교차로운행방법위반	사망자수	주	1	2
578	교차로운행방법위반	부상자수	주	1	922
579	교차로운행방법위반	사고건수	주	2	608
580	교차로운행방법위반	사망자수	주	2	1
581	교차로운행방법위반	부상자수	주	2	913
582	교차로운행방법위반	사고건수	주	3	698
583	교차로운행방법위반	사망자수	주	3	1
584	교차로운행방법위반	부상자수	주	3	1077
