도로형태,시간대,사고수,월,유형
터널안,20시-22시,0,02,사망자수
터널안,22시-24시,0,02,사망자수
교량위,00시-02시,0,02,사망자수
교량위,02시-04시,0,02,사망자수
교량위,04시-06시,1,02,사망자수
교량위,06시-08시,0,02,사망자수
교량위,08시-10시,0,02,사망자수
교량위,10시-12시,1,02,사망자수
교량위,12시-14시,1,02,사망자수
교량위,14시-16시,0,02,사망자수
교량위,16시-18시,1,02,사망자수
교량위,18시-20시,1,02,사망자수
교량위,20시-22시,0,02,사망자수
교량위,22시-24시,0,02,사망자수
고가도로위,00시-02시,0,02,사망자수
고가도로위,02시-04시,0,02,사망자수
고가도로위,04시-06시,0,02,사망자수
고가도로위,06시-08시,0,02,사망자수
고가도로위,08시-10시,0,02,사망자수
고가도로위,10시-12시,0,02,사망자수
고가도로위,12시-14시,0,02,사망자수
고가도로위,14시-16시,0,02,사망자수
고가도로위,16시-18시,0,02,사망자수
고가도로위,18시-20시,0,02,사망자수
고가도로위,20시-22시,0,02,사망자수
고가도로위,22시-24시,0,02,사망자수
지하차도(도로)내,00시-02시,0,02,사망자수
지하차도(도로)내,02시-04시,0,02,사망자수
지하차도(도로)내,04시-06시,0,02,사망자수
지하차도(도로)내,06시-08시,0,02,사망자수
지하차도(도로)내,08시-10시,1,02,사망자수
지하차도(도로)내,10시-12시,0,02,사망자수
지하차도(도로)내,12시-14시,0,02,사망자수
지하차도(도로)내,14시-16시,0,02,사망자수
지하차도(도로)내,16시-18시,0,02,사망자수
지하차도(도로)내,18시-20시,1,02,사망자수
지하차도(도로)내,20시-22시,0,02,사망자수
지하차도(도로)내,22시-24시,0,02,사망자수
교차로내,00시-02시,1,02,사망자수
교차로내,02시-04시,1,02,사망자수
교차로내,04시-06시,2,02,사망자수
교차로내,06시-08시,2,02,사망자수
교차로내,08시-10시,6,02,사망자수
교차로내,10시-12시,2,02,사망자수
교차로내,12시-14시,2,02,사망자수
교차로내,14시-16시,4,02,사망자수
교차로내,16시-18시,2,02,사망자수
교차로내,18시-20시,6,02,사망자수
교차로내,20시-22시,6,02,사망자수
교차로내,22시-24시,3,02,사망자수
교차로횡단보도내,00시-02시,0,02,사망자수
교차로횡단보도내,02시-04시,0,02,사망자수
교차로횡단보도내,04시-06시,1,02,사망자수
교차로횡단보도내,06시-08시,0,02,사망자수
교차로횡단보도내,08시-10시,0,02,사망자수
교차로횡단보도내,10시-12시,2,02,사망자수
교차로횡단보도내,12시-14시,0,02,사망자수
교차로횡단보도내,14시-16시,0,02,사망자수
교차로횡단보도내,16시-18시,1,02,사망자수
교차로횡단보도내,18시-20시,2,02,사망자수
교차로횡단보도내,20시-22시,0,02,사망자수
교차로횡단보도내,22시-24시,0,02,사망자수
교차로부근,00시-02시,1,02,사망자수
교차로부근,02시-04시,1,02,사망자수
교차로부근,04시-06시,2,02,사망자수
교차로부근,06시-08시,1,02,사망자수
교차로부근,08시-10시,0,02,사망자수
교차로부근,10시-12시,1,02,사망자수
교차로부근,12시-14시,2,02,사망자수
교차로부근,14시-16시,1,02,사망자수
교차로부근,16시-18시,1,02,사망자수
교차로부근,18시-20시,0,02,사망자수
교차로부근,20시-22시,3,02,사망자수
교차로부근,22시-24시,4,02,사망자수
터널안,00시-02시,8,02,부상자수
터널안,02시-04시,4,02,부상자수
터널안,04시-06시,0,02,부상자수
터널안,06시-08시,0,02,부상자수
터널안,08시-10시,5,02,부상자수
터널안,10시-12시,19,02,부상자수
터널안,12시-14시,27,02,부상자수
터널안,14시-16시,24,02,부상자수
터널안,16시-18시,18,02,부상자수
터널안,18시-20시,3,02,부상자수
터널안,20시-22시,8,02,부상자수
터널안,22시-24시,7,02,부상자수
교량위,00시-02시,5,02,부상자수
교량위,02시-04시,5,02,부상자수
교량위,04시-06시,2,02,부상자수
교량위,06시-08시,14,02,부상자수
교량위,08시-10시,20,02,부상자수
교량위,10시-12시,22,02,부상자수
교량위,12시-14시,32,02,부상자수
교량위,14시-16시,21,02,부상자수
교량위,16시-18시,36,02,부상자수
교량위,18시-20시,33,02,부상자수
교량위,20시-22시,10,02,부상자수
교량위,22시-24시,16,02,부상자수
고가도로위,00시-02시,0,02,부상자수
고가도로위,02시-04시,0,02,부상자수
고가도로위,04시-06시,1,02,부상자수
고가도로위,06시-08시,6,02,부상자수
고가도로위,08시-10시,8,02,부상자수
고가도로위,10시-12시,4,02,부상자수
고가도로위,12시-14시,4,02,부상자수
고가도로위,14시-16시,27,02,부상자수
고가도로위,16시-18시,10,02,부상자수
고가도로위,18시-20시,9,02,부상자수
고가도로위,20시-22시,13,02,부상자수
고가도로위,22시-24시,3,02,부상자수
지하차도(도로)내,00시-02시,13,02,부상자수
지하차도(도로)내,02시-04시,2,02,부상자수
지하차도(도로)내,04시-06시,2,02,부상자수
지하차도(도로)내,06시-08시,14,02,부상자수
지하차도(도로)내,08시-10시,18,02,부상자수
지하차도(도로)내,10시-12시,10,02,부상자수
지하차도(도로)내,12시-14시,25,02,부상자수
지하차도(도로)내,14시-16시,44,02,부상자수
지하차도(도로)내,16시-18시,39,02,부상자수
지하차도(도로)내,18시-20시,34,02,부상자수
지하차도(도로)내,20시-22시,28,02,부상자수
지하차도(도로)내,22시-24시,28,02,부상자수
교차로내,00시-02시,195,02,부상자수
교차로내,02시-04시,69,02,부상자수
교차로내,04시-06시,133,02,부상자수
교차로내,06시-08시,349,02,부상자수
교차로내,08시-10시,621,02,부상자수
교차로내,10시-12시,681,02,부상자수
교차로내,12시-14시,777,02,부상자수
교차로내,14시-16시,842,02,부상자수
교차로내,16시-18시,922,02,부상자수
교차로내,18시-20시,1031,02,부상자수
교차로내,20시-22시,729,02,부상자수
교차로내,22시-24시,515,02,부상자수
교차로횡단보도내,00시-02시,14,02,부상자수
교차로횡단보도내,02시-04시,0,02,부상자수
교차로횡단보도내,04시-06시,12,02,부상자수
교차로횡단보도내,06시-08시,30,02,부상자수
교차로횡단보도내,08시-10시,45,02,부상자수
교차로횡단보도내,10시-12시,40,02,부상자수
교차로횡단보도내,12시-14시,52,02,부상자수
교차로횡단보도내,14시-16시,63,02,부상자수
교차로횡단보도내,16시-18시,56,02,부상자수
교차로횡단보도내,18시-20시,100,02,부상자수
교차로횡단보도내,20시-22시,65,02,부상자수
교차로횡단보도내,22시-24시,50,02,부상자수
교차로부근,00시-02시,91,02,부상자수
교차로부근,02시-04시,45,02,부상자수
교차로부근,04시-06시,45,02,부상자수
교차로부근,06시-08시,127,02,부상자수
교차로부근,08시-10시,253,02,부상자수
교차로부근,10시-12시,304,02,부상자수
교차로부근,12시-14시,391,02,부상자수
교차로부근,14시-16시,417,02,부상자수
교차로부근,16시-18시,358,02,부상자수
교차로부근,18시-20시,424,02,부상자수
교차로부근,20시-22시,420,02,부상자수
교차로부근,22시-24시,293,02,부상자수
터널안,00시-02시,3,03,사고건수
터널안,02시-04시,2,03,사고건수
터널안,04시-06시,2,03,사고건수
터널안,06시-08시,4,03,사고건수
터널안,08시-10시,6,03,사고건수
터널안,10시-12시,10,03,사고건수
터널안,12시-14시,8,03,사고건수
터널안,14시-16시,9,03,사고건수
터널안,16시-18시,9,03,사고건수
터널안,18시-20시,12,03,사고건수
터널안,20시-22시,2,03,사고건수
터널안,22시-24시,5,03,사고건수
교량위,00시-02시,4,03,사고건수
교량위,02시-04시,3,03,사고건수
교량위,04시-06시,3,03,사고건수
교량위,06시-08시,8,03,사고건수
교량위,08시-10시,13,03,사고건수
교량위,10시-12시,11,03,사고건수
교량위,12시-14시,7,03,사고건수
교량위,14시-16시,13,03,사고건수
교량위,16시-18시,15,03,사고건수
교량위,18시-20시,21,03,사고건수
교량위,20시-22시,13,03,사고건수
교량위,22시-24시,10,03,사고건수
고가도로위,00시-02시,2,03,사고건수
고가도로위,02시-04시,0,03,사고건수
고가도로위,04시-06시,0,03,사고건수
고가도로위,06시-08시,5,03,사고건수
고가도로위,08시-10시,4,03,사고건수
고가도로위,10시-12시,6,03,사고건수
고가도로위,12시-14시,4,03,사고건수
고가도로위,14시-16시,7,03,사고건수
고가도로위,16시-18시,6,03,사고건수
고가도로위,18시-20시,9,03,사고건수
고가도로위,20시-22시,3,03,사고건수
고가도로위,22시-24시,3,03,사고건수
지하차도(도로)내,00시-02시,10,03,사고건수
지하차도(도로)내,02시-04시,4,03,사고건수
지하차도(도로)내,04시-06시,7,03,사고건수
지하차도(도로)내,06시-08시,6,03,사고건수
지하차도(도로)내,08시-10시,18,03,사고건수
지하차도(도로)내,10시-12시,21,03,사고건수
지하차도(도로)내,12시-14시,20,03,사고건수
지하차도(도로)내,14시-16시,24,03,사고건수
지하차도(도로)내,16시-18시,17,03,사고건수
지하차도(도로)내,18시-20시,24,03,사고건수
지하차도(도로)내,20시-22시,17,03,사고건수
지하차도(도로)내,22시-24시,21,03,사고건수
교차로내,00시-02시,153,03,사고건수
교차로내,02시-04시,74,03,사고건수
교차로내,04시-06시,118,03,사고건수
교차로내,06시-08시,286,03,사고건수
교차로내,08시-10시,500,03,사고건수
교차로내,10시-12시,520,03,사고건수
교차로내,12시-14시,573,03,사고건수
교차로내,14시-16시,601,03,사고건수
교차로내,16시-18시,654,03,사고건수
교차로내,18시-20시,713,03,사고건수
교차로내,20시-22시,499,03,사고건수
교차로내,22시-24시,325,03,사고건수
교차로횡단보도내,00시-02시,15,03,사고건수
교차로횡단보도내,02시-04시,8,03,사고건수
교차로횡단보도내,04시-06시,11,03,사고건수
교차로횡단보도내,06시-08시,33,03,사고건수
교차로횡단보도내,08시-10시,56,03,사고건수
교차로횡단보도내,10시-12시,48,03,사고건수
교차로횡단보도내,12시-14시,56,03,사고건수
교차로횡단보도내,14시-16시,55,03,사고건수
교차로횡단보도내,16시-18시,64,03,사고건수
교차로횡단보도내,18시-20시,98,03,사고건수
교차로횡단보도내,20시-22시,58,03,사고건수
교차로횡단보도내,22시-24시,50,03,사고건수
교차로부근,00시-02시,85,03,사고건수
교차로부근,02시-04시,42,03,사고건수
교차로부근,04시-06시,54,03,사고건수
교차로부근,06시-08시,138,03,사고건수
교차로부근,08시-10시,252,03,사고건수
교차로부근,10시-12시,224,03,사고건수
교차로부근,12시-14시,291,03,사고건수
교차로부근,14시-16시,309,03,사고건수
교차로부근,16시-18시,311,03,사고건수
교차로부근,18시-20시,377,03,사고건수
교차로부근,20시-22시,288,03,사고건수
교차로부근,22시-24시,238,03,사고건수
터널안,00시-02시,0,03,사망자수
터널안,02시-04시,0,03,사망자수
터널안,04시-06시,0,03,사망자수
터널안,06시-08시,0,03,사망자수
터널안,08시-10시,0,03,사망자수
터널안,10시-12시,1,03,사망자수
터널안,12시-14시,0,03,사망자수
터널안,14시-16시,2,03,사망자수
터널안,16시-18시,0,03,사망자수
터널안,18시-20시,0,03,사망자수
터널안,20시-22시,0,03,사망자수
터널안,22시-24시,0,03,사망자수
교량위,00시-02시,0,03,사망자수
교량위,02시-04시,0,03,사망자수
교량위,04시-06시,0,03,사망자수
교량위,06시-08시,0,03,사망자수
교량위,08시-10시,0,03,사망자수
교량위,10시-12시,2,03,사망자수
교량위,12시-14시,0,03,사망자수
교량위,14시-16시,0,03,사망자수
교량위,16시-18시,1,03,사망자수
교량위,18시-20시,0,03,사망자수
교량위,20시-22시,1,03,사망자수
교량위,22시-24시,0,03,사망자수
고가도로위,00시-02시,0,03,사망자수
고가도로위,02시-04시,0,03,사망자수
고가도로위,04시-06시,0,03,사망자수
고가도로위,06시-08시,0,03,사망자수
고가도로위,08시-10시,0,03,사망자수
고가도로위,10시-12시,0,03,사망자수
고가도로위,12시-14시,0,03,사망자수
고가도로위,14시-16시,0,03,사망자수
고가도로위,16시-18시,0,03,사망자수
고가도로위,18시-20시,1,03,사망자수
고가도로위,20시-22시,0,03,사망자수
고가도로위,22시-24시,0,03,사망자수
지하차도(도로)내,00시-02시,0,03,사망자수
지하차도(도로)내,02시-04시,0,03,사망자수
지하차도(도로)내,04시-06시,1,03,사망자수
지하차도(도로)내,06시-08시,0,03,사망자수
지하차도(도로)내,08시-10시,1,03,사망자수
지하차도(도로)내,10시-12시,3,03,사망자수
지하차도(도로)내,12시-14시,1,03,사망자수
지하차도(도로)내,14시-16시,0,03,사망자수
지하차도(도로)내,16시-18시,2,03,사망자수
지하차도(도로)내,18시-20시,1,03,사망자수
지하차도(도로)내,20시-22시,1,03,사망자수
지하차도(도로)내,22시-24시,2,03,사망자수
교차로내,00시-02시,3,03,사망자수
교차로내,02시-04시,3,03,사망자수
교차로내,04시-06시,5,03,사망자수
교차로내,06시-08시,0,03,사망자수
교차로내,08시-10시,5,03,사망자수
교차로내,10시-12시,2,03,사망자수
교차로내,12시-14시,6,03,사망자수
교차로내,14시-16시,4,03,사망자수
교차로내,16시-18시,5,03,사망자수
교차로내,18시-20시,6,03,사망자수
교차로내,20시-22시,0,03,사망자수
교차로내,22시-24시,3,03,사망자수
교차로횡단보도내,00시-02시,0,03,사망자수
교차로횡단보도내,02시-04시,1,03,사망자수
교차로횡단보도내,04시-06시,1,03,사망자수
